sample_name	abundance_gbr	abundance_world	algal_contact_types	anonymized_name	binary_algal_contact	binary_cca_contact	binary_disease	binary_macroalgal_contact	binary_tissue_loss	binary_turf_contact	biological_sample_notes	biologicalmatter	calcifies	cca_contact_percent	cca_overgrown	collected_by	collection_id	collection_time	collection_timestamp	coloniality	colony_height_m	colony_maximum_diameter	colony_maximum_diameter_2	colony_maximum_diameter_unit	colony_maximum_diameter_universal	colony_maximum_gcmp_recorded	colony_name	colony_width1	colony_width2	common_name	compartment_replicates	compartment_separation_notes	complex_robust	concatenated_date	contact_description	coral_color	coral_color_additional	coral_contact_types	corallite_type	corallite_width_maximum	corallite_width_maximum_unit	corallite_width_minimum	corallite_width_minimum_unit	country	cyanobacteria_contact	cyanobacteria_overgrown	cyanobacteria_percent	daily_replicate	date	depth	depth_lower	depth_lower_unit	depth_method	depth_upper	depth_upper_unit	description	disease_name	disease_percent	dna_extracted	dominant_cover_2m	eastern_most_range_edge	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	expedition_number	family	field_host_genus_id	field_host_name	field_host_species_id	full_location	full_taxonomy_string_with_clade	functional_group_sensu_darling	genus_fossil_age	genus_fossil_age_unit	geo_loc_name	geographic_area	growth_form_typical	growth_outline_type	hemisphere	host_clade_sensu_fukami	host_clade_sensu_fukami_numeric	host_common_name	host_genus	host_genus_id	host_name	host_scientific_name	host_species	host_species_id	host_subject_id	host_taxid	huang_roy_tree_name	invertebrate_contact_types	iucn_red_list_category	latitude	local_colony_name	local_sample_id	longitude	macroalgal_contact_types	mode_of_larval_development	n_algal_contacts	n_macroalgal_contacts	ncbi_inherited_blast_name	northern_most_range_edge	ocean	ocean_area	ocean_superregion	oocyte_size_at_maturity	oocyte_size_at_maturity_unit	orig_sample_name	outgroup	oxygen	oz_disease_mean	oz_disease_sd	par_method	parrotfish_bites	pcrtubeno	photosynthetically_active_radiation	physical_specimen_location	physical_specimen_remaining	political_area	prop_colony_maximum_diameter	prop_colony_maximum_diameter_universal	prop_colony_maximum_gcmp_recorded	propagule_size_on_release_max	propagule_size_on_release_max_unit	propagule_size_on_release_mean	propagule_size_on_release_mean_unit	qiita_study_id	range_size	range_size_unit	reef_name	reef_type	relevant_collaborators	salinity	sample_type	sample_type_gcmp	sampling_expedition	scientific_name	seagrass_contact	sediment_contact	sexual_system	shelf_location	site_name	skeletal_band_color	skeletal_density	skeletal_density_unit	southern_most_range_edge	species_age_phylogeny	species_age_phylogeny_unit	species_notes	substrate	substrate_attachment	surface_temperature	symbio_its2_sequenced	symbiodinium_sp__in_propagules	synonyms	taxon_id	taxonomy_string_to_clade	taxonomy_string_to_class	taxonomy_string_to_family	taxonomy_string_to_order	taxonomy_string_to_subclass	temperature	tissue_compartment	tissue_loss_percent	title	turf_contact_percent	turf_overgrown	visibility	visibility_method	water_clarity_preference	wave_exposure_preference	western_most_range_edge	zooxanthellate
10895.B8.stylaster												not provided							2014																															not provided						B8.stylaster						0	Host-asssociated	Animal	Animal corpus	marine coral reef biome	animal-associated habitat	organic material	host-associated											not provided							hydrocorals				Stylaster sp			B8.stylaster	520368				not provided			not provided												935							935												10895							coral	Stylaster Tissue		coral reef metagenome																			471232									GCMP								
10895.BLANK.1.5A	Not applicable	Not applicable	Not applicable	BLANK.1.5A	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2017-02-16 00:00:00	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	2/16/17	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.1.5A	Not applicable	Not applicable	TRUE	Not applicable	Not applicable	193				urban biome	research facility	sterile water	misc environment	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.1.5A	Not applicable	Not applicable	Not applicable	Not applicable	32.84	Not applicable	Not applicable	-117.26	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.1.5A	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	UCSDMI	FALSE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10895	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	control blank	Not applicable	Not applicable	metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	256318	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GCMP	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
10895.BLANK.10.A7	Not applicable	Not applicable	Not applicable	BLANK.10.A7	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2017-02-16 00:00:00	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	2/16/17	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.A7	Not applicable	Not applicable	TRUE	Not applicable	Not applicable	193				urban biome	research facility	sterile water	misc environment	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.A7	Not applicable	Not applicable	Not applicable	Not applicable	32.84	Not applicable	Not applicable	-117.26	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.A7	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	UCSDMI	FALSE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10895	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	control blank	Not applicable	Not applicable	metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	256318	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GCMP	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
10895.BLANK.10.A8	Not applicable	Not applicable	Not applicable	BLANK.10.A8	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2017-02-16 00:00:00	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	2/16/17	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.A8	Not applicable	Not applicable	TRUE	Not applicable	Not applicable	193				urban biome	research facility	sterile water	misc environment	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.A8	Not applicable	Not applicable	Not applicable	Not applicable	32.84	Not applicable	Not applicable	-117.26	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.A8	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	UCSDMI	FALSE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10895	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	control blank	Not applicable	Not applicable	metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	256318	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GCMP	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
10895.BLANK.10.B7	Not applicable	Not applicable	Not applicable	BLANK.10.B7	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2017-02-16 00:00:00	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	2/16/17	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.B7	Not applicable	Not applicable	TRUE	Not applicable	Not applicable	193				urban biome	research facility	sterile water	misc environment	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.B7	Not applicable	Not applicable	Not applicable	Not applicable	32.84	Not applicable	Not applicable	-117.26	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.B7	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	UCSDMI	FALSE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10895	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	control blank	Not applicable	Not applicable	metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	256318	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GCMP	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
10895.BLANK.10.B8	Not applicable	Not applicable	Not applicable	BLANK.10.B8	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2017-02-16 00:00:00	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	2/16/17	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.B8	Not applicable	Not applicable	TRUE	Not applicable	Not applicable	193				urban biome	research facility	sterile water	misc environment	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.B8	Not applicable	Not applicable	Not applicable	Not applicable	32.84	Not applicable	Not applicable	-117.26	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.B8	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	UCSDMI	FALSE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10895	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	control blank	Not applicable	Not applicable	metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	256318	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GCMP	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
10895.BLANK.10.C7	Not applicable	Not applicable	Not applicable	BLANK.10.C7	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2017-02-16 00:00:00	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	2/16/17	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.C7	Not applicable	Not applicable	TRUE	Not applicable	Not applicable	193				urban biome	research facility	sterile water	misc environment	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.C7	Not applicable	Not applicable	Not applicable	Not applicable	32.84	Not applicable	Not applicable	-117.26	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.C7	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	UCSDMI	FALSE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10895	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	control blank	Not applicable	Not applicable	metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	256318	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GCMP	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
10895.BLANK.10.C8	Not applicable	Not applicable	Not applicable	BLANK.10.C8	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2017-02-16 00:00:00	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	2/16/17	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.C8	Not applicable	Not applicable	TRUE	Not applicable	Not applicable	193				urban biome	research facility	sterile water	misc environment	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.C8	Not applicable	Not applicable	Not applicable	Not applicable	32.84	Not applicable	Not applicable	-117.26	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.C8	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	UCSDMI	FALSE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10895	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	control blank	Not applicable	Not applicable	metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	256318	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GCMP	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
10895.BLANK.10.D7	Not applicable	Not applicable	Not applicable	BLANK.10.D7	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2017-02-16 00:00:00	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	2/16/17	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.D7	Not applicable	Not applicable	TRUE	Not applicable	Not applicable	193				urban biome	research facility	sterile water	misc environment	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.D7	Not applicable	Not applicable	Not applicable	Not applicable	32.84	Not applicable	Not applicable	-117.26	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.D7	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	UCSDMI	FALSE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10895	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	control blank	Not applicable	Not applicable	metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	256318	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GCMP	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
10895.BLANK.10.D8	Not applicable	Not applicable	Not applicable	BLANK.10.D8	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2017-02-16 00:00:00	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	2/16/17	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.D8	Not applicable	Not applicable	TRUE	Not applicable	Not applicable	193				urban biome	research facility	sterile water	misc environment	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	USA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.D8	Not applicable	Not applicable	Not applicable	Not applicable	32.84	Not applicable	Not applicable	-117.26	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10.D8	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	UCSDMI	FALSE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10895	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	control blank	Not applicable	Not applicable	metagenome	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	256318	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GCMP	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
