sample_name	animal_id	barcodeid	captive_wild	collection_timestamp	collector	common_name	corrected_species_name	country	dataset	description	diet_category_12	diet_category_3	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	group_id	group_individual_id	healthy	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scietific_nam	host_subject_id	latitude	life_stage	longitude	ncbi_taxon_id	oldsampleid	physical_specimen_location	physical_specimen_remaining	preservative	qiita_study_id	sample	sample_type	scientific_name	sex	species_name	taxon_id	taxonomy_species	class	order	family	genus
11166.AE2QE37.A.vulture	AE2QE37	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE2QE37.A.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE2QE37	32.84	unknown	-117.25	8782	AE2QE37.A	UCSDMI	False	FTA	11166	AE2QE37	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AE2QE37.B.vulture	AE2QE37	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE2QE37.B.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE2QE37	32.84	unknown	-117.25	8782	AE2QE37.B	UCSDMI	False	FTA	11166	AE2QE37	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AE2QI98.A.vulture	AE2QI98	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE2QI98.A.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE2QI98	32.84	unknown	-117.25	8782	AE2QI98.A	UCSDMI	False	FTA	11166	AE2QI98	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AE2QI98.B.vulture	AE2QI98	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE2QI98.B.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE2QI98	32.84	unknown	-117.25	8782	AE2QI98.B	UCSDMI	False	FTA	11166	AE2QI98	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AE7VG10.A.vulture	AE7VG10	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE7VG10.A.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE7VG10	32.84	unknown	-117.25	8782	AE7VG10.A	UCSDMI	False	FTA	11166	AE7VG10	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AE7VG10.B.vulture	AE7VG10	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE7VG10.B.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE7VG10	32.84	unknown	-117.25	8782	AE7VG10.B	UCSDMI	False	FTA	11166	AE7VG10	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AE7VG78.A.vulture	AE7VG78	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE7VG78.A.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE7VG78	32.84	unknown	-117.25	8782	AE7VG78.A	UCSDMI	False	FTA	11166	AE7VG78	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AE7VG78.B.vulture	AE7VG78	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE7VG78.B.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE7VG78	32.84	unknown	-117.25	8782	AE7VG78.B	UCSDMI	False	FTA	11166	AE7VG78	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AE7VI49.A.vulture	AE7VI49	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE7VI49.A.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE7VI49	32.84	unknown	-117.25	8782	AE7VI49.A	UCSDMI	False	FTA	11166	AE7VI49	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AE7VI49.B.vulture	AE7VI49	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE7VI49.B.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE7VI49	32.84	unknown	-117.25	8782	AE7VI49.B	UCSDMI	False	FTA	11166	AE7VI49	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AE7VJ10.A.vulture	AE7VJ10	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE7VJ10.A.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE7VJ10	32.84	unknown	-117.25	8782	AE7VJ10.A	UCSDMI	False	FTA	11166	AE7VJ10	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AE7VJ10.B.vulture	AE7VJ10	none	wild	2016	Smithsonian	vulture test	Aves sp.	USA	Smithsonian	AE7VJ10.B.vulture gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated			unknown	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:intestine	bird	not collected	Aves sp.	gg.AE7VJ10	32.84	unknown	-117.25	8782	AE7VJ10.B	UCSDMI	False	FTA	11166	AE7VJ10	intestinal aspiration	gut metagenome	not collected	Aves sp.	749906		Aves	Passeriformes	Passerellidae	Centronyx
11166.AR.M1.flyingsquirrel	AR.M1	none	wild	8/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M1.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M1	32.84	adult	-117.25	55152	AR.M1	UCSDMI	False	etoh	11166	AR.M1	feces	gut metagenome	female	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M10.flyingsquirrel	AR.M10	none	wild	8/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M10.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M10	32.84	adult	-117.25	55152	AR.M10	UCSDMI	False	etoh	11166	AR.M10	feces	gut metagenome	female	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M11.flyingsquirrel	AR.M11	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M11.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M11	32.84	adult	-117.25	55152	AR.M11	UCSDMI	False	etoh	11166	AR.M11	feces	gut metagenome	male	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M12.flyingsquirrel	AR.M12	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M12.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M12	32.84	adult	-117.25	55152	AR.M12	UCSDMI	False	etoh	11166	AR.M12	feces	gut metagenome	male	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M13.flyingsquirrel	AR.M13	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M13.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M13	32.84	adult	-117.25	55152	AR.M13	UCSDMI	False	etoh	11166	AR.M13	feces	gut metagenome	female	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M14.flyingsquirrel	AR.M14	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M14.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	juvenile	Pteromys volans	AR.M14	32.84	juvenile	-117.25	55152	AR.M14	UCSDMI	False	etoh	11166	AR.M14	feces	gut metagenome	female	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M15.flyingsquirrel	AR.M15	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M15.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	juvenile	Pteromys volans	AR.M15	32.84	juvenile	-117.25	55152	AR.M15	UCSDMI	False	etoh	11166	AR.M15	feces	gut metagenome	female	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M16.flyingsquirrel	AR.M16	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M16.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	juvenile	Pteromys volans	AR.M16	32.84	juvenile	-117.25	55152	AR.M16	UCSDMI	False	etoh	11166	AR.M16	feces	gut metagenome	male	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M17.flyingsquirrel	AR.M17	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M17.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M17	32.84	adult	-117.25	55152	AR.M17	UCSDMI	False	etoh	11166	AR.M17	feces	gut metagenome	male	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M18.flyingsquirrel	AR.M18	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M18.flyingsquirrel gut sample	herbivore	herbivore	True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M18	32.84	adult	-117.25	55152	AR.M18	UCSDMI	False	etoh	11166	AR.M18	feces	gut metagenome	male	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M19.flyingsquirrel	AR.M19	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M19.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	juvenile	Pteromys volans	AR.M19	32.84	juvenile	-117.25	55152	AR.M19	UCSDMI	False	etoh	11166	AR.M19	feces	gut metagenome	male	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M2.flyingsquirrel	AR.M2	none	wild	8/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M2.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	juvenile	Pteromys volans	AR.M2	32.84	juvenile	-117.25	55152	AR.M2	UCSDMI	False	etoh	11166	AR.M2	feces	gut metagenome	male	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M21.flyingsquirrel	AR.M21	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M21.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	juvenile	Pteromys volans	AR.M21	32.84	juvenile	-117.25	55152	AR.M21	UCSDMI	False	etoh	11166	AR.M21	feces	gut metagenome	female	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M22.flyingsquirrel	AR.M22	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M22.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M22	32.84	adult	-117.25	55152	AR.M22	UCSDMI	False	etoh	11166	AR.M22	feces	gut metagenome	male	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M23.flyingsquirrel	AR.M23	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M23.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M23	32.84	adult	-117.25	55152	AR.M23	UCSDMI	False	etoh	11166	AR.M23	feces	gut metagenome	male	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M24.flyingsquirrel	AR.M24	none	wild	9/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M24.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M24	32.84	adult	-117.25	55152	AR.M24	UCSDMI	False	etoh	11166	AR.M24	feces	gut metagenome	female	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M25.flyingsquirrel	AR.M25	none	wild	10/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M25.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M25	32.84	adult	-117.25	55152	AR.M25	UCSDMI	False	etoh	11166	AR.M25	feces	gut metagenome	female	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M26.flyingsquirrel	AR.M26	none	wild	10/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M26.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	juvenile	Pteromys volans	AR.M26	32.84	juvenile	-117.25	55152	AR.M26	UCSDMI	False	etoh	11166	AR.M26	feces	gut metagenome	female	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M27.flyingsquirrel	AR.M27	none	wild	10/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M27.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M27	32.84	adult	-117.25	55152	AR.M27	UCSDMI	False	etoh	11166	AR.M27	feces	gut metagenome	male	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M28.flyingsquirrel	AR.M28	none	wild	10/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M28.flyingsquirrel gut sample	herbivore	herbivore	True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M28	32.84	adult	-117.25	55152	AR.M28	UCSDMI	False	etoh	11166	AR.M28	feces	gut metagenome	male	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
11166.AR.M3.flyingsquirrel	AR.M3	none	wild	8/16/2006	Aura Raulo	Siberian flying squirrel	Pteromys volans	Finland	Raulo	AR.M3.flyingsquirrel gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Siberian flying squirrel	adult	Pteromys volans	AR.M3	32.84	adult	-117.25	55152	AR.M3	UCSDMI	False	etoh	11166	AR.M3	feces	gut metagenome	female	Pteromys volans	749906	Pteromys volans	Mammalia	Rodentia	Sciuridae	Pteromys
