sample_name	cheese_outcome	collection_device	collection_timestamp	description	dna_extracted	elevation	elevation_units	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	inoculum_species	latitude	latitude_units	longitude	longitude_units	physical_specimen_location	physical_specimen_remaining	pma	qiita_study_id	sample_type	scientific_name	taxon_id
12366.1985	no_slits	centrifuge_tube	2015-07-08	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.1986	no_slits	centrifuge_tube	2015-07-08	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.1989	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_feed	food metagenome	870726
12366.1990	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_feed	food metagenome	870726
12366.1993	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.1994	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.1997	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.1998	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.2001	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_feed	food metagenome	870726
12366.2002	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_feed	food metagenome	870726
12366.2005	no_slits	centrifuge_tube	2015-07-07	Raw_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	Raw_milk	food metagenome	870726
12366.2006	no_slits	centrifuge_tube	2015-07-07	Raw_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	Raw_milk	food metagenome	870726
12366.2009	no_slits	centrifuge_tube	2015-07-07	Raw_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	Raw_milk	food metagenome	870726
12366.2010	no_slits	centrifuge_tube	2015-07-07	Raw_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	Raw_milk	food metagenome	870726
12366.2013	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.2014	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.2017	no_slits	centrifuge_tube	2015-07-07	Raw_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	Raw_milk	food metagenome	870726
12366.2018	no_slits	centrifuge_tube	2015-07-07	Raw_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	Raw_milk	food metagenome	870726
12366.2021	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.2022	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.2025	no_slits	centrifuge_tube	2015-07-07	Raw_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	Raw_milk	food metagenome	870726
12366.2026	no_slits	centrifuge_tube	2015-07-07	Raw_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	Raw_milk	food metagenome	870726
12366.2029	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_feed	food metagenome	870726
12366.2030	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_feed	food metagenome	870726
12366.2033	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.2034	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.2037	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.2038	no_slits	centrifuge_tube	2015-07-07	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.2041	no_slits	centrifuge_tube	2015-07-08	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_feed	food metagenome	870726
12366.2042	no_slits	centrifuge_tube	2015-07-08	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_feed	food metagenome	870726
12366.2045	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_feed	food metagenome	870726
12366.2046	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_feed	food metagenome	870726
12366.2049	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_feed	food metagenome	870726
12366.2050	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_feed	food metagenome	870726
12366.2053	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_feed	food metagenome	870726
12366.2054	no_slits	centrifuge_tube	2015-07-07	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_feed	food metagenome	870726
12366.2057	no_slits	centrifuge_tube	2015-07-07	Cheese_0D	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	Cheese_0D	food metagenome	870726
12366.2058	no_slits	centrifuge_tube	2015-07-07	Cheese_0D	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	Cheese_0D	food metagenome	870726
12366.2061	slits	centrifuge_tube	2015-07-15	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_feed	food metagenome	870726
12366.2062	slits	centrifuge_tube	2015-07-15	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_feed	food metagenome	870726
12366.2065	slits	centrifuge_tube	2015-07-16	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.2066	slits	centrifuge_tube	2015-07-16	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.2069	slits	centrifuge_tube	2015-07-15	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_feed	food metagenome	870726
12366.2070	slits	centrifuge_tube	2015-07-15	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_feed	food metagenome	870726
12366.2073	slits	centrifuge_tube	2015-07-15	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.2074	slits	centrifuge_tube	2015-07-15	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.2077	slits	centrifuge_tube	2015-07-15	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_feed	food metagenome	870726
12366.2078	slits	centrifuge_tube	2015-07-15	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_feed	food metagenome	870726
12366.2081	slits	centrifuge_tube	2015-07-15	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.2082	slits	centrifuge_tube	2015-07-15	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.2085	slits	centrifuge_tube	2015-07-15	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.2086	slits	centrifuge_tube	2015-07-15	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.2089	slits	centrifuge_tube	2015-07-15	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.2090	slits	centrifuge_tube	2015-07-15	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.2093	slits	centrifuge_tube	2015-07-15	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_feed	food metagenome	870726
12366.2094	slits	centrifuge_tube	2015-07-15	HTST_feed	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_feed	food metagenome	870726
12366.2097	slits	centrifuge_tube	2015-07-15	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	HTST_milk	food metagenome	870726
12366.2098	slits	centrifuge_tube	2015-07-15	HTST_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	HTST_milk	food metagenome	870726
12366.2101	slits	centrifuge_tube	2015-07-15	Raw_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	Y	12366	Raw_milk	food metagenome	870726
12366.2102	slits	centrifuge_tube	2015-07-15	Raw_milk	TRUE	16	meters	free-living	Non-saline	Surface (non-saline)	urban biome	research facility	cheese product	misc environment	USA:CA:Davis	not applicable	38.545	Decimal degrees	-121.741	Decimal degrees	UC Davis	FALSE	N	12366	Raw_milk	food metagenome	870726
