sample_id	pma	empo_1	empo_2	empo_3	latitude	taxon_id	elevation	env_biome	longitude	description	env_feature	env_package	sample_type	env_material	geo_loc_name	dna_extracted	cheese_outcome	latitude_units	elevation_units	longitude_units	scientific_name	inoculum_species	collection_device	collection_timestamp	physical_specimen_location	physical_specimen_remaining	qiita_study_id
12366.1985	Y	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_milk	research facility	misc environment	HTST_milk	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-08	UC Davis	FALSE	12366
12366.1986	N	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_milk	research facility	misc environment	HTST_milk	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-08	UC Davis	FALSE	12366
12366.1989	Y	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_feed	research facility	misc environment	HTST_feed	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.1990	N	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_feed	research facility	misc environment	HTST_feed	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.1993	Y	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_milk	research facility	misc environment	HTST_milk	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.1994	N	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_milk	research facility	misc environment	HTST_milk	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.1997	Y	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_milk	research facility	misc environment	HTST_milk	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.1998	N	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_milk	research facility	misc environment	HTST_milk	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.2001	Y	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_feed	research facility	misc environment	HTST_feed	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.2002	N	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_feed	research facility	misc environment	HTST_feed	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.2005	Y	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	Raw_milk	research facility	misc environment	Raw_milk	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.2006	N	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	Raw_milk	research facility	misc environment	Raw_milk	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.2010	N	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	Raw_milk	research facility	misc environment	Raw_milk	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.2013	Y	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_milk	research facility	misc environment	HTST_milk	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
12366.2014	N	free-living	Non-saline	Surface (non-saline)	38.545	870726	16	urban biome	-121.741	HTST_milk	research facility	misc environment	HTST_milk	cheese product	USA:CA:Davis	TRUE	no_slits	Decimal degrees	meters	Decimal degrees	food metagenome	not applicable	centrifuge_tube	2015-07-07	UC Davis	FALSE	12366
