ContextName	SamplesWithData	FeaturesWithData	Description
SHOGUN-rep200-TaxonomicPredictions-species-8fa379	8844	11809	Shogun v1.0.8 (Aligner tool: bowtie2,Database: |opt|genome|qiita_dbs|shogun|072020|rep200, BIOM: otu_table.redist.species.biom) | Atropos v1.1.24
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V4-200nt-a5e305	8393	17644	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 200)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V4-58196d	8468	34789	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Deblur (Reference phylogeny for SEPP: Greengenes_13.8)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V9-5c6506	388	5155	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries FASTQ
Deblur-Illumina-16S-V34-150nt-780653	72	7819	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V5-V7-150nt-bd7d4d	84	4971	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V6-8-150nt-bd7d4d	51	4250	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-FASTA-16S-V3-90nt-44feac	18	1682	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V3-4-150nt-bd7d4d	241	6871	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-SILVA-LS454-16S-V3-34e809	3288	6500	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Split libraries
Pick_closed-reference_OTUs-Greengenes-ion_torrent-16S-V4-100nt-a243a1	174	5559	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V4-100nt-a243a1	176539	77906	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Pick_closed-reference_OTUs-SILVA-Illumina-16S-V4-250nt-39b7c0	322	40182	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Trimming (length: 250)
